#options: 1280x720 fps=144/1 timebase=1/144 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3567 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:134 out:135 type:B dur:2 cpbdur:2 q:33.95 aq:27.38 tex:3979 mv:8783 misc:2022 imb:118 pmb:615 smb:2867 d:s ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:33.89 aq:27.78 tex:2345 mv:7514 misc:1797 imb:82 pmb:509 smb:3009 d:- ref:0 ;
in:139 out:137 type:P dur:2 cpbdur:2 q:33.65 aq:24.10 tex:59389 mv:22377 misc:2706 imb:1131 pmb:1257 smb:1212 d:s ref:0 ;
in:137 out:138 type:B dur:2 cpbdur:2 q:33.77 aq:27.25 tex:3039 mv:8561 misc:2056 imb:107 pmb:572 smb:2921 d:s ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:33.71 aq:27.54 tex:1428 mv:5657 misc:1659 imb:46 pmb:470 smb:3084 d:- ref:0 ;
in:142 out:140 type:P dur:2 cpbdur:2 q:33.53 aq:24.37 tex:27560 mv:10872 misc:2856 imb:350 pmb:1041 smb:2209 d:s ref:0 ;
in:140 out:141 type:B dur:2 cpbdur:2 q:33.61 aq:28.34 tex:1014 mv:1271 misc:875 imb:4 pmb:148 smb:3448 d:t ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:33.57 aq:27.60 tex:667 mv:693 misc:664 imb:0 pmb:99 smb:3501 d:- ref:0 ;
in:145 out:143 type:P dur:2 cpbdur:2 q:33.56 aq:24.60 tex:26942 mv:11107 misc:2847 imb:340 pmb:1025 smb:2235 d:s ref:0 ;
in:143 out:144 type:B dur:2 cpbdur:2 q:33.54 aq:28.85 tex:1047 mv:1356 misc:949 imb:6 pmb:161 smb:3433 d:t ref:0 ;
